Accounting Date,masked_column
11/28/2023,21
11/28/2023,116
11/28/2023,40
11/28/2023,144
11/29/2023,27
11/29/2023,418
11/29/2023,130
11/30/2023,152
11/30/2023,88
11/30/2023,35
11/30/2023,25
11/30/2023,12
12/1/2023,21916
12/1/2023,204
12/2/2023,10
12/2/2023,10
12/3/2023,74
12/3/2023,5
12/3/2023,20
12/3/2023,11
12/4/2023,12
12/6/2023,12
12/6/2023,21896
12/7/2023,23
12/7/2023,315
12/7/2023,202
12/7/2023,767
12/7/2023,10
12/7/2023,1020
12/8/2023,10
12/9/2023,10
12/10/2023,10
12/11/2023,10
12/12/2023,237
12/12/2023,24
12/12/2023,203
12/12/2023,17054
12/12/2023,34512
12/12/2023,8
12/12/2023,2219
12/14/2023,6
12/14/2023,119
12/14/2023,25
12/15/2023,145
12/15/2023,31
12/15/2023,16139
12/16/2023,18
12/16/2023,12
12/17/2023,48
12/18/2023,12
12/19/2023,6
12/19/2023,2218
12/20/2023,10
12/21/2023,11
12/22/2023,5
12/26/2023,2679
12/26/2023,5978
12/26/2023,2732
12/26/2023,0
12/28/2023,11
12/28/2023,193
12/28/2023,56
12/28/2023,4817
12/28/2023,266
12/28/2023,440
12/29/2023,970
12/29/2023,0
12/31/2023,13124
12/31/2023,16387
12/31/2023,118
12/31/2023,114
12/31/2023,2763
12/31/2023,297
12/31/2023,92
12/31/2023,2111
12/31/2023,531
12/31/2023,22
12/31/2023,118
12/31/2023,80
12/31/2023,30
12/31/2023,307
12/31/2023,33
12/31/2023,190
12/31/2023,156
12/31/2023,100
12/31/2023,167
12/31/2023,152
12/31/2023,508
12/31/2023,482
12/31/2023,100
12/31/2023,52
12/31/2023,30
12/31/2023,2163
12/31/2023,54
12/31/2023,1018
12/31/2023,25
12/31/2023,101
12/31/2023,1035
12/31/2023,48
12/31/2023,47
12/31/2023,510
12/31/2023,226
12/31/2023,521
12/31/2023,21
12/31/2023,56
12/31/2023,53
12/31/2023,103
12/31/2023,28
12/31/2023,117
12/31/2023,551
12/31/2023,408
12/31/2023,88
12/31/2023,938
12/31/2023,51
12/31/2023,158
12/31/2023,186
12/31/2023,26
12/31/2023,139
12/31/2023,939
12/31/2023,43
12/31/2023,91
12/31/2023,44
12/31/2023,91
12/31/2023,23
12/31/2023,1901
12/31/2023,127
12/31/2023,158
12/31/2023,21
12/31/2023,13890
12/31/2023,38
12/31/2023,9
1/2/2024,1013
1/2/2024,3141
1/2/2024,2476
1/2/2024,168
1/3/2024,48
1/4/2024,11
1/4/2024,130
1/4/2024,118
1/4/2024,2954
1/6/2024,6
1/6/2024,10
1/6/2024,11
1/6/2024,22
1/7/2024,11
1/8/2024,17
1/9/2024,1391
1/11/2024,976
1/16/2024,10
1/16/2024,11
1/16/2024,6
1/17/2024,44
1/17/2024,3
1/19/2024,27
1/19/2024,5703
1/19/2024,8311
1/19/2024,6
1/20/2024,26
1/20/2024,10
1/20/2024,5
1/20/2024,11
1/20/2024,2
1/21/2024,6
1/21/2024,9
1/22/2024,5
1/22/2024,28
1/22/2024,5
1/23/2024,11
1/23/2024,221
1/24/2024,11
1/24/2024,11
1/24/2024,3
1/24/2024,223
1/24/2024,105
1/24/2024,106
1/24/2024,73
1/25/2024,11
1/25/2024,953
1/25/2024,124
1/25/2024,101
1/25/2024,108
1/25/2024,10
1/26/2024,107030
1/26/2024,6
1/26/2024,552
1/27/2024,5
1/27/2024,6
1/29/2024,1471
1/30/2024,6
1/30/2024,111
1/30/2024,19298
1/30/2024,5705
1/30/2024,1
1/30/2024,1693
1/31/2024,239
1/31/2024,94
1/31/2024,6
1/31/2024,10
2/1/2024,10
2/1/2024,10
2/1/2024,5
2/2/2024,10
2/2/2024,2
2/2/2024,26
2/2/2024,2193
