ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The East Oregonian,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!",Event,Instance
664176140,12/08/2024 9:42 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,56-65,,It was magical and so entertaining!,,Celtic Christmas,12/6/2024
664322156,12/08/2024 2:58 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,66+,,Outstanding!,,Celtic Christmas,12/6/2024
664689939,12/09/2024 8:01 AM,No,No,No,No,No,No,No,No,No,No,No,Yes,36-45,"$50,001 - $100,000",Yes,,LW Holiday Films Sensory-Friendly,12/8/2024
664698489,12/09/2024 8:16 AM,No,No,No,No,No,No,No,No,No,No,No,Yes,56-65,"$50,001 - $100,000",Beautiful theater. Lights and sound level was perfect (sensory friendly showing). Excellent value.,Enjoy early (matinee) show options. ,LW Holiday Films Sensory-Friendly,12/8/2024
664744620,12/09/2024 9:22 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$50,000 or below","Very nice. Too brief though. I come every year. The only change I would make is to go back to having it in the evening for adults. 
",,Little Watts Holiday Films,12/8/2024
664808386,12/09/2024 10:50 AM,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,56-65,,very nice,"railing a little low in balcony font seating area, a little scary watching people walk in front of the front row people",Celtic Christmas,12/6/2024
664988229,12/09/2024 3:02 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,46-55,"$50,001 - $100,000",It was a night to remember for me.I t was wonderfully done.,,Celtic Christmas,12/6/2024
665092931,12/09/2024 5:44 PM,Yes,No,No,No,No,No,No,No,No,No,No,No,66+,"$50,001 - $100,000",The concert was very good. We enjoyed it immensely. ,,Celtic Christmas,12/6/2024
665202887,12/09/2024 8:24 PM,No,No,No,No,No,No,No,No,No,No,No,Yes,46-55,"$100,001 - $200,000",Ambience perfect. ,We enjoyed the decreased sound and increased lighting as my son has Down syndrome and is sensitive to external stimuli.,LW Holiday Films Sensory-Friendly,12/8/2024
665208785,12/09/2024 8:38 PM,Yes,No,No,No,No,No,No,No,No,No,Yes,No,56-65,,Great value and a fine venue. I look forward to the holiday shorts each year.,,Little Watts Holiday Films,12/8/2024
665510267,12/10/2024 8:17 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$200,001 or above",Wonderfull,,Celtic Christmas,12/6/2024
667041753,12/12/2024 1:06 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,36-45,"$50,001 - $100,000","Had a great time. Movie was quirky, as we expected. Venue is always good. Not a bad seat in the house. Hosts were friendly and welcoming, as usual.","Nothing comes to mind. Just wish there were more attendees, for your sake. We drove in from Kennewick.",Chronicles of a Wandering Saint,12/11/2024
667614923,12/13/2024 9:46 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$100,001 - $200,000",The performance was all around excellent and delightful.,,Celtic Christmas,12/6/2024
669344583,12/16/2024 8:03 AM,No,No,No,No,No,No,No,No,No,No,No,Yes,56-65,,Positive overall. It was a little difficult to see all three artists from the balcony but we still enjoyed the show.,,Celtic Christmas,12/15/2024
669353683,12/16/2024 8:18 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,56-65,"$50,001 - $100,000","During one set the background music was scratchy.  Other than that, good..",,Celtic Christmas,12/15/2024
669363074,12/16/2024 8:32 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,,Wonderful,,Celtic Christmas,12/15/2024
669364550,12/16/2024 8:34 AM,No,No,No,No,No,No,No,No,Yes,No,Yes,No,46-55,"$50,001 - $100,000",Good.,,Celtic Christmas,12/15/2024
669367873,12/16/2024 8:41 AM,Yes,No,No,No,No,No,No,No,No,No,No,No,56-65,"$100,001 - $200,000",Everything was excallent,The Celtic Christmas ladies were extremely talented and lovely. The staff are wonderful too!,Celtic Christmas,12/15/2024
669378976,12/16/2024 8:59 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",very nicely done.,,Celtic Christmas,12/15/2024
